_id,channelId,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId.value,canRate,viewerRating,likeCount,publishedAt,updatedAt,label,afterNormalisasi
6651a6a8c14ed2b8f4863e50,UC-z1ubmS-iHMVr83EEwRS2g,Q5vQawTFJ0I,GILA KANGEN YOUTUBE ZAMAN VLOGG 🥹🥹🥹🥹,gila kangen youtube zaman vlog,@mftk23,https://yt3.ggpht.com/ytc/AIdro_mR5fUwI73BLXB8oAq2YDMmFcXankkGoSviXnFt2Aw4rfE=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mftk23,UCXuDorrnszDuL995D_J4wIQ,true,none,0,2024-01-13T02:57:29Z,2024-01-13T02:57:29Z,netral,gila kangen youtube zaman vlog
665189f294a2f3e28c752de1,UC-z1ubmS-iHMVr83EEwRS2g,1ZIGLm5cuDo,Remake Yutub riwain indonesia 2016 Karena tidak ada TELOLET,membuat ulang youtube rewind indonesia tidak suara,@mrgeniusly7572,https://yt3.ggpht.com/ytc/AIdro_mK875UXPoHgVEw0T8HEQNHrPBXlic3JOGUticaHO0=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@mrgeniusly7572,UCcMgiKgsBIwMbelzlsFdY2g,true,none,0,2016-12-22T00:07:35Z,2016-12-22T00:07:35Z,netral,membuat ulang youtube rewind indonesia tidak suara
6651837620ee1df904ba4c9c,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,Bang Eka please buatin Mixnya Lagu Bad Blood campur Sambaladonya :D tuh bagus banget,bang eka gustiwana mohon buat campur lagu bad blood campur sambalado itu bagus banget,@TakiJoe777,https://yt3.ggpht.com/eaVwJuTBBBrvjdmLu7Zx6z-OOoSN84oRtXeVbbUvAwRg37vQFzUVbJ_SEnaCkn2GPwIiCEVkqQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@TakiJoe777,UC7DhLpCmASltO_UR4nkLpxw,true,none,0,2016-01-27T18:17:53Z,2016-01-27T18:17:53Z,netral,bang eka gustiwana mohon buat campur lagu bad blood campur sambalado itu bagus banget
6651962182f57e4e5420d7fa,UC-z1ubmS-iHMVr83EEwRS2g,mCyITaDib7M,Yg habis nonton rewind 2020 terus mampir kesini<br>👇👇,yang habis tonton rewind terus mampir kesini,@nazarsatya,https://yt3.ggpht.com/ytc/AIdro_kmoD8Clc92fHi22ZNJxYDmDpv8FVrFFnmtTEj7pW8eoFA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@nazarsatya,UCWHI6kbGCtm4GghNclkNDPw,true,none,2,2021-01-01T00:52:14Z,2021-01-01T00:52:14Z,netral,yang habis tonton rewind terus mampir kesini
66519bf84bec1f5ab86449db,UC-z1ubmS-iHMVr83EEwRS2g,LhYfsKc0_tA,I WANNA BACK IN THIS MOMENTTTTT,wana kembali in ini momen,@thedaydreamer8942,https://yt3.ggpht.com/Kdgi3HaNM3EgGVyRf8ZR23-9_0-JOHIAnDKKZ15YkAl0OBaHGAfT8eO-sYoSP_llmBx3GaTylA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@thedaydreamer8942,UCOltYa6odrl7PKdTs0h3XNg,true,none,0,2023-01-03T12:12:31Z,2023-01-03T12:12:31Z,netral,wana kembali in ini momen
66519bf84bec1f5ab8644891,UC-z1ubmS-iHMVr83EEwRS2g,LhYfsKc0_tA,"<a href=""https://www.youtube.com/watch?v=LhYfsKc0_tA&amp;t=133"">2:13</a> ada bang budi",bang budi,@hinatahyuga3524,https://yt3.ggpht.com/ytc/AIdro_lbLM_6BG-dbx0GOBwGlMpFRiOoZ98CTD_zEWbBpjw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@hinatahyuga3524,UCsK74SK6knzPCiVzq536wRA,true,none,1,2021-08-10T06:53:39Z,2021-08-10T06:53:39Z,netral,bang budi
6651837620ee1df904ba4a75,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,Judul Nya 3.25 ap yah mohon bantuannya,judul nya apa yah mohon bantuan,@penntazy.2478,https://yt3.ggpht.com/ytc/AIdro_kFaoYt9VZBhyOOYkv70y1_qYMfJNJYlkOx5U2NXQh05JU=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@penntazy.2478,UCKppCed-i9vJ-M7P0oQJJrQ,true,none,0,2016-02-29T09:07:06Z,2016-02-29T09:07:06Z,netral,judul nya apa yah mohon bantuan
6651837620ee1df904ba4caf,UC-z1ubmS-iHMVr83EEwRS2g,fNX6Gu2F7A8,Nostalgia dulu pas pake hp nokia nonton ini berulang-ulang kali,nostalgia dulu pas pakai handphone nokia tonton ulang ulang kali,@rikiekaprasetya,https://yt3.ggpht.com/ytc/AIdro_kKBClnJ4ZvJjfy3XX_yfzZayoYsjHPP6cIJxXHyy1HHw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@rikiekaprasetya,UC3kTcO5IUfGX3-pq34SY2ng,true,none,1,2024-02-14T09:48:56Z,2024-02-14T09:48:56Z,netral,nostalgia dulu pas pakai handphone nokia tonton ulang ulang kali
6651962182f57e4e5420d736,UC-z1ubmS-iHMVr83EEwRS2g,mCyITaDib7M,Dimana lagu SYANTIK cuk!,lagu cantik cuk,@fauzanaulia695,https://yt3.ggpht.com/ytc/AIdro_lUMu21pZNxbDCDAAa2ZQE7u7aBtx7jiIkTwhU0ywNJPIY=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@fauzanaulia695,UCdU6KA-gfAn6io3yCmVcaJw,true,none,0,2018-12-14T16:11:04Z,2018-12-14T16:11:04Z,netral,lagu cantik cuk
665189f294a2f3e28c752f39,UC-z1ubmS-iHMVr83EEwRS2g,1ZIGLm5cuDo,Ka Aulionnnn kemanaaa,ka aulion,@deliaadel8038,https://yt3.ggpht.com/ytc/AIdro_lOS5UuyXbXnayqM4eI5zAc9F93Njdgiag3ViAyfrYkpA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@deliaadel8038,UChQhz1MyYegbtiG9JKhYWRg,true,none,0,2016-12-18T12:33:58Z,2016-12-18T12:33:58Z,netral,ka aulion
